id,created_at,text
1258466673692196900,Thu May 07 18:40:10 +0000 2020,@nilahmaria Thank you for reaching out . Please contact Associate Relations at 1-800-859-6488.
1253987113902751700,Sat Apr 25 10:00:00 +0000 2020,https://t.co/mJYM3Nh48h
1253710541811564500,Fri Apr 24 15:41:00 +0000 2020,@3591Mandy Thank you for your response. Unfortunately this is not one of our order numbers. If you made a purchase… https://t.co/2M7P7wyMsN
1253691752827039700,Fri Apr 24 14:26:20 +0000 2020,@Coco_Da_Unicorn Hi, thank you for reaching out. We recommend you reach out directly to Associate Relations at 1-800-859-6488.
1253684950404075500,Fri Apr 24 13:59:19 +0000 2020,@TorreMaster Hi Alan, thank you for reaching out. To further assist you, could you provide us with your order number.
1252602244337451000,Tue Apr 21 14:17:01 +0000 2020,@NukuMutuku Hi, thank you for reaching out. To further assist you, could you provide us with your order number.
1249754675332690000,Mon Apr 13 17:41:48 +0000 2020,@emcatmap Hi Em, thanks for reaching out. We suggest that you contact our Associate Relations department with any q… https://t.co/S6STwjFWdP
1248632694721912800,Fri Apr 10 15:23:27 +0000 2020,@Fastwesley Thanks for reaching out. To file a claim please visit https://t.co/RSdONP4MuN.
1247964017307590700,Wed Apr 08 19:06:22 +0000 2020,@K3YHOLD3R Hi, thanks for reaching out. If you would kindly DM us with the location your girlfriend worked in, it w… https://t.co/yh9YQFxyf7
1245169771517300700,Wed Apr 01 02:03:02 +0000 2020,@notsokatatonic Thank you for reaching out about this. Please see our website for our updated return policy: https://t.co/GnSHX1JF8H
1244245608044642300,Sun Mar 29 12:50:44 +0000 2020,@KaitNGriffin Hi Kaitlin, thank you for reaching out about this. Please see our website for our updated return poli… https://t.co/C46n3ZYN1E
1243940810015506400,Sat Mar 28 16:39:35 +0000 2020,@faithnovak7 Hi Faith, please reach out to Associate Relations at 1-800-859-6488.
1243580930792579000,Fri Mar 27 16:49:33 +0000 2020,@Samanth15533467 Thank you for that information. If you would kindly DM us with your last name, we would be happy t… https://t.co/jqCZGamVGi
1242983737341681700,Thu Mar 26 01:16:31 +0000 2020,@Samanth15533467 Hi Samantha, would you please DM us with the city and state of the store you work in so we can for… https://t.co/2tehfv0Z3k
1242588072920809500,Tue Mar 24 23:04:17 +0000 2020,@ericanicole1982 Hi Erica, Thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488
1242508133878182000,Tue Mar 24 17:46:38 +0000 2020,@Queen_Keeks Hi Ke'Andra, thank you for reaching out about this. Please see our website for our updated return poli… https://t.co/pb1yNAJDmH
1242460284641566700,Tue Mar 24 14:36:30 +0000 2020,@kaaitjo Thank you for following up. We have shared your concerns with our Online Department and a Representative w… https://t.co/Kcy7ILsd5N
1241716110816395300,Sun Mar 22 13:19:25 +0000 2020,@SimplyLindZ Hi,  We are,extending our return policy by 30 days from the date when our stores and online businesses… https://t.co/spiTnoeZ59
1241715904356012000,Sun Mar 22 13:18:36 +0000 2020,@worldwide192 Hi Kevin, We are,extending our return policy by 30 days from the date when our stores and online busi… https://t.co/GRzwf9T4JM
1241713950250713000,Sun Mar 22 13:10:50 +0000 2020,@foreverbailey Hi, We are, extending our return policy by 30 days from the date when our stores and online business… https://t.co/yIGaEKmNH4
1241466957637062700,Sat Mar 21 20:49:22 +0000 2020,@kaaitjo Hi, thanks for reaching out. If you would kindly reply with your order number, it would assist us in looking into this further.
1241109506735706000,Fri Mar 20 21:08:59 +0000 2020,@clareproblems_ Thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488.
1241109318386286600,Fri Mar 20 21:08:14 +0000 2020,@faithnovakx Thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488.
1240786206750920700,Thu Mar 19 23:44:19 +0000 2020,@jamescalebjoyce Thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488.
1240785293260849200,Thu Mar 19 23:40:41 +0000 2020,@joetullar123456 Thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488.
1240366455734009900,Wed Mar 18 19:56:22 +0000 2020,@luscioussalvi Thanks for making us aware. We are sorry to learn about your recent experience. If you would kindly… https://t.co/TABjLHoMrG
1239700859367415800,Mon Mar 16 23:51:32 +0000 2020,@litty_kevin Hi, Please contact Associate Relations at 1-800-859-6488.
1239700706791166000,Mon Mar 16 23:50:55 +0000 2020,@Woedric Hi, Please contact Associate Relations at 1-800-859-6488.
1239700451307765800,Mon Mar 16 23:49:54 +0000 2020,@AllysonWondrlan Hi, Please contact Associate Relations at 1-800-859-6488.
1239294106519601200,Sun Mar 15 20:55:14 +0000 2020,@theycallmetuna Hi Natalia, thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488.
1239238933474656300,Sun Mar 15 17:16:00 +0000 2020,@brennaaaa14 Hi Brenna, thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488.
1239238514459521000,Sun Mar 15 17:14:20 +0000 2020,@adelagreyjoy Hi Adela, thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488.
1238896115640078300,Sat Mar 14 18:33:46 +0000 2020,@simplydimepiece Hi, thank you for reaching out. If you would kindly DM us with the location of the store in which… https://t.co/5j2NCLzagb
1238881834055938000,Sat Mar 14 17:37:01 +0000 2020,@n0vaclipse Hi, we recommend reaching out to Associate Relations at 1-800-859-6488.
1238584653050785800,Fri Mar 13 21:56:07 +0000 2020,@zaneswittek Hi, thanks for reaching out. Please reach out to Associate Relations at 1-800-859-6488.
1238562666702164000,Fri Mar 13 20:28:45 +0000 2020,@vvvchi Hi, thank you for reaching out to us. If you would kindly DM us with the location of the store in which she… https://t.co/DHReDwa8Fg
1238538924991135700,Fri Mar 13 18:54:25 +0000 2020,@nikkki_97 Hi Nikki, thank you for your feedback! We will be sure to let our real estate team know!
1238164962373185500,Thu Mar 12 18:08:25 +0000 2020,@greatjobshealth Hi Peggy, thank you for reaching out to us. We are sorry to hear about your recent purchase. If yo… https://t.co/7JqOBildgN
1237168227496714200,Tue Mar 10 00:07:45 +0000 2020,@1taty_ Hi, Thanks for reaching out about your experience at one of our stores. Our customer service team can addre… https://t.co/WUa7ODgiCv
1236754545998430200,Sun Mar 08 20:43:56 +0000 2020,@EDMichi99 Thank you for reaching out regarding this matter. Please contact Associate Relations at 1-800-859-6488.
1236645786999500800,Sun Mar 08 13:31:46 +0000 2020,@NickSmi88496077 Thanks for reaching out about your experience in our Springfield, OR store. Please give our Custom… https://t.co/HndMKZwfwZ
1236645022403039200,Sun Mar 08 13:28:43 +0000 2020,@RavenManiac96 Thanks for reaching out Michael. We have shared this with the appropriate people to be cleaned. If o… https://t.co/gFMycvnJSB
1236033986704609300,Fri Mar 06 21:00:41 +0000 2020,@tjp2018 Hi T.J., thank you for reaching out to us. If you would kindly reply with your name, we would be happy to… https://t.co/tJOf7sJDjW
1235996212593143800,Fri Mar 06 18:30:35 +0000 2020,@ninixrose Thank you for that information. Prompt and courteous service is our top priority, and we apologize this… https://t.co/dotZBLoOWd
1235977278540132400,Fri Mar 06 17:15:21 +0000 2020,@ninixrose Hi, thank you for reaching out to us. We are sorry to hear about this. If you would kindly reply with th… https://t.co/OdKiqYMZLQ
1235603530897068000,Thu Mar 05 16:30:12 +0000 2020,@touchofcouture Thank you for reaching out. Please call customer service on 1-800-646-9466 to discuss this further.
1235582861228626000,Thu Mar 05 15:08:04 +0000 2020,@covermeinsn0w Hi Priscilla, thank you for reaching out about this. Please reach out to your local store manager, t… https://t.co/J9GNlQ46ej
1235367763130146800,Thu Mar 05 00:53:21 +0000 2020,@EmatBMblog Hi Em, we have forwarded your comments on to our online Customer Service team. They will be back in tou… https://t.co/84tg2RwHdX
1234993336978509800,Wed Mar 04 00:05:31 +0000 2020,@ajgage175 Hi Anna, Our Customer Service would like to look into this further. Please give them a call M-F 9AM-6PM… https://t.co/WLtfFNklCq
1234647908588441600,Tue Mar 03 01:12:54 +0000 2020,@ItsFrankyJ Hi Franky, when returning merchandise purchased with PayPal to one of our stores, a Marshalls merchandi… https://t.co/trBCbp8uCB
1234497558929649700,Mon Mar 02 15:15:28 +0000 2020,@SeanGuerrero Hi Sean, thanks for reaching out. We have shared your feedback with our Real Estate team for their review and attention.
1234497086986621000,Mon Mar 02 15:13:36 +0000 2020,@lovetheblasian Thanks for reaching out. If you would kindly DM us with your name and the store location you work i… https://t.co/L8pX3i3zsP
1233852175052345300,Sat Feb 29 20:30:57 +0000 2020,@popadopolis3030 Hi Keenan, thanks for reaching out to us. We are sorry to hear you had a poor experience and would… https://t.co/sDxhgMIgrO
1233120887077064700,Thu Feb 27 20:05:04 +0000 2020,@a_thinkingma Hi Lynn, thank you for getting back to us. We have issued a credit to your form of payment to reimbur… https://t.co/Xd4sa6gUGR
1233106766357041200,Thu Feb 27 19:08:57 +0000 2020,@a_thinkingma Hi Lynn, what is the order number in question?
1231629261854986200,Sun Feb 23 17:17:53 +0000 2020,@OhMyGodExposeU Thank You for getting back to us regarding our Winter Park FL store. We have shared your feedback w… https://t.co/XX2l9ZwtPc
1231224407495991300,Sat Feb 22 14:29:08 +0000 2020,@samantripie Hi Sam, thank you for reaching out to us. We are sorry to hear this. If you would kindly DM us with a… https://t.co/ygqhWiwTqO
1231111379798626300,Sat Feb 22 07:00:00 +0000 2020,https://t.co/bNf16IGs3e
1230871917269221400,Fri Feb 21 15:08:28 +0000 2020,@mariamkhodr9 Hi Mariam, thanks for reaching out. We are sorry to learn about this. We'd be happy to file a claim w… https://t.co/g3RnyWkUbS
1229869943195394000,Tue Feb 18 20:46:58 +0000 2020,@JUICY_Jadeeee Hi, thank you for reaching out to us! You can now shop Marshalls online at https://t.co/MlkjPu57nz!
1229501362838347800,Mon Feb 17 20:22:22 +0000 2020,@idreamofkyesha Thanks for making us aware. We are sorry to learn about the long lines. Please be assured that we h… https://t.co/PGzLxJEhp8
1229436486732468200,Mon Feb 17 16:04:34 +0000 2020,@blvckbeautty Thanks for reaching out. Our customer service team would like to address this issue for you. Please g… https://t.co/iSlv2syhwG
1229154721161760800,Sun Feb 16 21:24:56 +0000 2020,@halhat77 Hi Haley, For more information on our giving guidelines, please visit https://t.co/rMuguzWVJQ&gt; corporate… https://t.co/ohqoWXSX14
1229044698658037800,Sun Feb 16 14:07:45 +0000 2020,@markberkley22 Thank you for reaching out Mark. Please give our Customer Service a call at 1-888-627-7425 and we wo… https://t.co/ThZ6DT11l6
1228403551799595000,Fri Feb 14 19:40:04 +0000 2020,@DreSouffle Hi Dre, thanks for reaching out. We are sorry to learn about the selection. Please be assured that we h… https://t.co/YPprjq6kVQ
1228403124714512400,Fri Feb 14 19:38:22 +0000 2020,@flycoolchick Thanks for making us aware. We are sorry to learn about this. Would you kindly reply back with the ci… https://t.co/WykGnq914l
1228007496566091800,Thu Feb 13 17:26:17 +0000 2020,@curlred915 Hi Laura, thank you for reaching out. Our Customer Service team would like to address this for you. Ple… https://t.co/3RVevpK7LJ
1227250779976863700,Tue Feb 11 15:19:21 +0000 2020,@andrewbashi Hi Andrew, thanks for reaching out. We are sorry to learn about this. Would you please DM us  photo of… https://t.co/l6WjhmCy1w
1227250574317453300,Tue Feb 11 15:18:32 +0000 2020,@darienjaneen Hi Darien, thanks for reaching out. Our customer service team would like to address this issue for yo… https://t.co/V1uc6PMGFg
1226262186810658800,Sat Feb 08 21:51:02 +0000 2020,@Meowgaret Hi, thank you for reaching out. We are sorry to hear this! Unfortunately, we can't track specific brands… https://t.co/FdYRLKAYD2
1226231544081244200,Sat Feb 08 19:49:17 +0000 2020,@tommyos6 Hi, thank you for reaching out to us. We are sorry to hear about the delays. If you would kindly reply wi… https://t.co/WiToPmblPs
1226230751085158400,Sat Feb 08 19:46:07 +0000 2020,@objets Thank you for that information, Kirsten. Prompt and courteous service is our top priority, and we apologize… https://t.co/Cw0DjMhEAM
1226209047138967600,Sat Feb 08 18:19:53 +0000 2020,@objets Hi Kristen, thanks for reaching out. We're sorry to hear about your experience. If you would reply with the… https://t.co/okukaaLbKO
1226149963811389400,Sat Feb 08 14:25:06 +0000 2020,@JoiAboutHers Hi, thank you for reaching out. We are sorry to hear about this. If you would kindly DM us with a pic… https://t.co/H567jphAsv
1225817670676885500,Fri Feb 07 16:24:41 +0000 2020,@shayna_noelle Hi Shayna, thanks for reaching out. Orders with standard shipping can take 5-10 business days to arr… https://t.co/pulygtQGfn
1225817322616688600,Fri Feb 07 16:23:18 +0000 2020,@wendi1760 Hi Wendi, thanks for reaching out. Our customer service team would like to address this issue for you. P… https://t.co/EE2YqtQjzF
1225189353397375000,Wed Feb 05 22:47:59 +0000 2020,@hsturner91 Hi Sherry, thanks for reaching out. We're sorry to hear about this. If you would kindly DM us letting u… https://t.co/tU8xYWCRgY
1225172157816299500,Wed Feb 05 21:39:39 +0000 2020,@KaffinatedK Hi, thank you for reaching out to us. We are sorry to hear about your experience. If you would kindly… https://t.co/LruXOKHhOa
