id,created_at,text
1260374246536044500,Wed May 13 01:00:11 +0000 2020,Education and Innovation: The Long Shadow of the Cultural Revolution  Zhangkai Huang, Gordon M. Phillips, Jialun Ya… https://t.co/0f24Vk63XH
1259830735818551300,Mon May 11 13:00:28 +0000 2020,The Power of Social Pensions: Evidence From China's New Rural Pension Scheme  Wei Huang, Chuanchuan Zhang… https://t.co/QaRoZNdvPa
1258743570015457300,Fri May 08 13:00:28 +0000 2020,Toward Internationalization: A Bibliometric Analysis of the Social Sciences in Mainland China From 1979 to 2018  Li… https://t.co/UJdxXhgGni
1257294164019961900,Mon May 04 13:01:02 +0000 2020,Persistence Through Revolutions  Alberto F. Alesina, Marlon Seror, David Y. Yang (@david_yang), Yang You, Weihong Z… https://t.co/uBMxw8XS8P
1256025746574729200,Fri May 01 01:00:48 +0000 2020,The Politico-Economic Dynamics of China's Growth  Yikai Wang  https://t.co/ROxlTxh7z5 https://t.co/DCm13uTlsF
1255844552373440500,Thu Apr 30 13:00:48 +0000 2020,Social Inequality in Child Educational Development in China  Airan Liu, Wangyang Li, Yu Xie (@YuXie3)… https://t.co/TvepliKtlx
1255663359577387000,Thu Apr 30 01:00:48 +0000 2020,Worker and Firm Responses to Trade Shocks: The UK-China Case  Josh De Lyon, Joao Pessoa  https://t.co/E6lWxGQF8m https://t.co/PBwXgJ7uJ4
1255482166659686400,Wed Apr 29 13:00:48 +0000 2020,Air Pollution Lowers High Skill Public Sector Worker Productivity in China  Matthew Kahn (@mattkahn1966), Pei Li… https://t.co/PvXR8v88Wo
1255300972588544000,Wed Apr 29 01:00:48 +0000 2020,Who Marries Whom in a Surging Housing Market?  Ang Sun, Qinghua Zhang  https://t.co/Jlb6lr0blI https://t.co/L5Ku4sMY1X
1255119776143167500,Tue Apr 28 13:00:48 +0000 2020,Corporate Governance in China: A Survey  Fuxiu Jiang, Kenneth Kim  https://t.co/6kdqGyDnXr https://t.co/HaS3LUTZX0
1254938582722072600,Tue Apr 28 01:00:48 +0000 2020,The Effects of Prenatal Exposure to Temperature Extremes on Birth Outcomes: The Case of China  Xi Chen (@xcyale), C… https://t.co/lp5WSwD4UW
1253670226597515300,Fri Apr 24 13:00:48 +0000 2020,From Cautious Interaction to Mature Influence: China's Evolving Engagement With the International Investment Regime… https://t.co/mcFKGcTS9m
1253489039312732200,Fri Apr 24 01:00:50 +0000 2020,Household Wealth Proxies for Socio-Economic Inequality Policy Studies in China  Jacqueline C. K. Lam, Yang Han, Rui… https://t.co/5hovzDBgx7
1253307849888854000,Thu Apr 23 13:00:51 +0000 2020,Human Mobility Restrictions and the Spread of the Novel Coronavirus (2019-nCoV) in China  Hanming Fang, Long Wang,… https://t.co/5giEdKv2fZ
1253126644979495000,Thu Apr 23 01:00:48 +0000 2020,Comparing Alternative China and US Arrangements With CPTPP  Chunding Li, Xin Lin, John Whalley… https://t.co/ve8YfXrmoa
1252945453638799400,Wed Apr 22 13:00:49 +0000 2020,The Impact of Pay-for-Percentile Incentive on Low-Achieving Students in Rural China  Fang Chang, Huan Wang, Yaqiong… https://t.co/tN3am0EWyC
1252764339037016000,Wed Apr 22 01:01:08 +0000 2020,Household Wealth Proxies for Socio-Economic Inequality Policy Studies in China  Jacqueline C. K. Lam, Yang Han, Rui… https://t.co/x2D8ZxEhSa
1252583066528149500,Tue Apr 21 13:00:49 +0000 2020,Equilibrium Consequences of Corruption on Firms: Evidence From China's Anti-Corruption Campaign  Haoyuan Ding, Hanm… https://t.co/CMz0fqloSG
1252401865636995000,Tue Apr 21 01:00:47 +0000 2020,The Impact of Clean Water on Infant Mortality: Evidence From China  Maoyong Fan, Guojun He  https://t.co/oPA2nUxVCD https://t.co/TcIqb8lP9H
1252220678373171200,Mon Apr 20 13:00:49 +0000 2020,On the Road: Access to Transportation Infrastructure and Economic Growth in China  Abhijit Banerjee, Esther Duflo,… https://t.co/t9kkCUydvu
1251133510292660200,Fri Apr 17 13:00:48 +0000 2020,Explaining Support for Same-Sex Marriage: Evidence From Taiwan  Timothy S. Rich, Andi Dahmer, Isabel Eliassen… https://t.co/zxkgD1K51h
1238231741220810800,Thu Mar 12 22:33:46 +0000 2020,The Impact of Intranational Trade Barriers on Exports: Evidence From a Nationwide VAT Rebate Reform in China  Jie B… https://t.co/juaqNBVvoP
1235203420417478700,Wed Mar 04 14:00:19 +0000 2020,The Early Bird Catches the Worm? School Entry Cutoff and the Timing of Births  Cheng Huang, Shiying Zhang, Qingguo… https://t.co/zpxdBuZzYc
1234659842549174300,Tue Mar 03 02:00:19 +0000 2020,Building Bridges or Breaking Bonds? the Belt and Road Initiative and Foreign Aid Competition  Krishna Chaitanya Vad… https://t.co/nqok7lxVQK
1233210293511045000,Fri Feb 28 02:00:20 +0000 2020,Cultural Capital in China? Television Tastes and Cultural Distinction Among College Students in Beijing  Yang Gao,… https://t.co/VGWbebxWXn
1232485512549585000,Wed Feb 26 02:00:19 +0000 2020,Intellectual Property Enforcement, Exports and Productivity of Heterogeneous Firms in Developing Countries: Evidenc… https://t.co/pSz8PNyEqp
1232304320906854400,Tue Feb 25 14:00:19 +0000 2020,Influence Activities and Bureaucratic Performance: Evidence From a Large-Scale Field Experiment in China  Alain de… https://t.co/rECiEomBkx
1232123127741603800,Tue Feb 25 02:00:20 +0000 2020,The Political Economy of Labor Employment Decisions: Evidence From China  Zhaoyang Gu, Song Tang, Donghui Wu… https://t.co/PsFQmncMA1
1231941932785340400,Mon Feb 24 14:00:19 +0000 2020,Pledgeability and Asset Prices: Evidence From the Chinese Corporate Bond Markets  Hui Chen, Zhuo Chen (… https://t.co/fcAXurXE8l
1230854768286814200,Fri Feb 21 14:00:19 +0000 2020,Firm Response to Competitive Shocks: Evidence From China's Minimum Wage Policy  Harald Hau, Yi Huang, Gewei Wang… https://t.co/NQHS3VZPin
1230673574244937700,Fri Feb 21 02:00:19 +0000 2020,Political Movement and Trust Formation: Evidence From the Cultural Revolution (1966–76)  Liang Bai, Lingwei Wu… https://t.co/v0FsdCVp1C
1230492378563170300,Thu Feb 20 14:00:19 +0000 2020,From Fog to Smog: The Value of Pollution Information  Panle Jia Barwick, Shanjun Li, Liguo Lin, Eric Zou… https://t.co/QytTnBrmcB
1230311189806112800,Thu Feb 20 02:00:20 +0000 2020,When Family Property Becomes Individual Property: Intrahousehold Property Ownership and Women's Well‐Being in China… https://t.co/BVnCDQvH3C
1230129991284736000,Wed Feb 19 14:00:19 +0000 2020,The Effect of Educational Technology on College Students' Labor Market Performance  Yi Lu, Hong Song… https://t.co/WDC3zrXM2d
1229948798853472300,Wed Feb 19 02:00:19 +0000 2020,China's Unconventional Nationwide CO2 Emissions Trading System: The Wide-Ranging Impacts of an Implicit Output Subs… https://t.co/clXADTCGXN
1229767604027322400,Tue Feb 18 14:00:19 +0000 2020,The Trade Effects of Anti-Dumping Duties: Firm-Level Evidence From China☆  Gabriel Felbermayr, Alexander Sandkamp… https://t.co/w5qIPzeWw4
1229586413206687700,Tue Feb 18 02:00:20 +0000 2020,Price Discovery and Market Segmentation in China's Credit Market  Zhe Geng, Jun Pan  https://t.co/wqHYIZEBwq https://t.co/mm9ZIZnPNK
1229405223765995500,Mon Feb 17 14:00:21 +0000 2020,The Economic Impact of Distributing Financial Products on Third-Party Online Platforms  Claire Yurong Hong, Xiaomen… https://t.co/ng7bnS8vIj
1228318054037119000,Fri Feb 14 14:00:19 +0000 2020,The Logic of Authoritarian Political Selection: Evidence From a Conjoint Experiment in China  Hanzhang Liu… https://t.co/etRDhjdUAH
1227955667341721600,Thu Feb 13 14:00:20 +0000 2020,The Role of Transportation Speed in Facilitating High Skilled Teamwork Across Cities  Xiaofang Dong, Siqi Zheng (… https://t.co/58JYpimYS1
1227412084985454600,Wed Feb 12 02:00:19 +0000 2020,The Value of Privacy: Evidence From Online Borrowers  Huan Tang  https://t.co/KgL7zMOL4J https://t.co/FkDy1owJig
1227230893879611400,Tue Feb 11 14:00:20 +0000 2020,Ditching the Party: Disaggregating Split Ticket Voting in Taiwanʼs 2016 Legislative Election  Timothy S. Rich… https://t.co/XC1Z5A3dca
1226868502604087300,Mon Feb 10 14:00:19 +0000 2020,Does Investment in National Highways Help or Hurt Hinterland City Growth?  Nathaniel Baum-Snow, J. Vernon Henderson… https://t.co/HR3N2PcUIC
