id,created_at,text
1261332945530478600,Fri May 15 16:29:43 +0000 2020,sabrina via instagram 1 year ago today “🤷🏼‍♀️” (may 15, 2019) https://t.co/wUN8Zm8xtm
1261332275200962600,Fri May 15 16:27:03 +0000 2020,sabrina via instagram 2 years ago today “😈” (may 15, 2018) https://t.co/tQQWSqmiq0
1261331896073703400,Fri May 15 16:25:33 +0000 2020,sabrina via instagram 2 years ago today “guys I am in luhv with ya artwork 😭 this week I’ll be choosing some of my… https://t.co/31LHR6gcw3
1261331572390797300,Fri May 15 16:24:15 +0000 2020,sabrina via instagram 2 years ago today “ART🌹” (may 15, 2018) https://t.co/d2RSnJ0QbP
1261330832716976000,Fri May 15 16:21:19 +0000 2020,sabrina via instagram 3 years ago today “pedestrians when they see me in the streets of Europe” (may 15, 2017) https://t.co/mYF9aHEDTV
1260969958059769900,Thu May 14 16:27:20 +0000 2020,sabrina via instagram 2 years ago today “Excited to announce I’m performing Almost Love for the first time live @ W… https://t.co/keK4nuSPVZ
1260969154062028800,Thu May 14 16:24:08 +0000 2020,sabrina via instagram 3 years ago today “O2🌹 #middleofthenighttour” &amp; “Happy mothers day to all the wonderful Momma… https://t.co/cWjMZ8lCfc
1260968576539861000,Thu May 14 16:21:50 +0000 2020,sabrina via instagram 3 years ago today (may 14, 2017) https://t.co/lsAtxOhXeX
1260614457874690000,Wed May 13 16:54:42 +0000 2020,sabrina 3 years ago today at the middle of the night tour show in london, uk (may 13, 2017) https://t.co/N2crJ0G1eN
1260613025247244300,Wed May 13 16:49:00 +0000 2020,sabrina via instagram 2 years ago today “NEW SINGLE ALMOST LOVE 6/6” (may 13, 2018) https://t.co/0RHWtF6xcA
1260611799516414000,Wed May 13 16:44:08 +0000 2020,sabrina via instagram 2 years ago today “NEW SINGLE ALMOST LOVE 6/6” (may 13, 2018) https://t.co/HG5BjvG79Y
1260611336905666600,Wed May 13 16:42:18 +0000 2020,sabrina via instagram 2 years ago today “NEW SINGLE ALMOST LOVE 6/6” (may 13, 2018) https://t.co/vqS2talT8e
1260610376015794200,Wed May 13 16:38:29 +0000 2020,i forgot to post it yesterday :(
1260610374006685700,Wed May 13 16:38:28 +0000 2020,sabrina via twitter 2 years ago yesterday (may 12, 2018) https://t.co/7QfNta3T4X
1260608572683100200,Wed May 13 16:31:19 +0000 2020,sabrina via instagram 3 years ago today “Paris you gave me a sold out show, chocolate cake, and all the love in the… https://t.co/qIbSioAtt8
1260254913352867800,Tue May 12 17:06:00 +0000 2020,sabrina 3 years ago today at the evolution tour show in paris, fr (may 12, 2017) https://t.co/sUPHS1CFen
1260252996560138200,Tue May 12 16:58:23 +0000 2020,sabrina 2 years ago for the almost love single photoshoot (may, 2018) https://t.co/uYtBAw7HDp
1260252051025596400,Tue May 12 16:54:37 +0000 2020,sabrina via instagram 2 years ago today “19’s a dream.  Farewell Nola, that’s a wrap. @shorthistorylongroad” (may 1… https://t.co/26PJxfxUu6
1260251154837057500,Tue May 12 16:51:04 +0000 2020,sabrina via instagram 3 years ago today “My incredibly talented sister @saricarpenter took this at the crack of daw… https://t.co/UG085LP2Yz
1260250504610951200,Tue May 12 16:48:29 +0000 2020,sabrina via instagram 4 years ago today “You belong” (may 12, 2016) https://t.co/c8HxAc8NCU
1260250230148206600,Tue May 12 16:47:23 +0000 2020,sabrina via instagram 5 years ago today “Twas a very much unbirthday xx” (may 12, 2015) https://t.co/4IcullscYM
1259885621230866400,Mon May 11 16:38:34 +0000 2020,sabrina via instagram 1 year ago today “50% a 40 year old” (may 11, 2019) https://t.co/32kZ6iB4AE
1259884177559883800,Mon May 11 16:32:50 +0000 2020,sabrina via instagram 2 years ago today “she a 19 !! issa birthday !!” (may 11, 2018) https://t.co/8OyRjlRJav
