id,created_at,text
1260875298352103400,Thu May 14 10:11:11 +0000 2020,@RomilChandel1 Hi Romil, thank you very much for your suggestion. We will certainly take this as a feedback and wil… https://t.co/4WcpDTrCTq
1260187255437766700,Tue May 12 12:37:09 +0000 2020,@tsrmanikandan Hi! Your feedback is appreciated. We value our customers, we promise to take care of this in the fut… https://t.co/Auu8mJqz66
1260145850275299300,Tue May 12 09:52:37 +0000 2020,@bedaninaresh Hi, you will be receiving a call from the team to help you out with your concern.
1260144604881576000,Tue May 12 09:47:40 +0000 2020,@bedaninaresh Hi, thank you for sharing the details. Kindly allow us some time, we will get back to you at the earliest with an update.
1260083785892270000,Tue May 12 05:46:00 +0000 2020,@bedaninaresh Looks’ like, there’s some glitch here! It can’t be so high. Please DM your number with us and we will… https://t.co/xul5hbOg8K
1259805892398243800,Mon May 11 11:21:45 +0000 2020,@_akanshjain_ Hi Akansh!  We request you to share your contact details here:https://t.co/p0YqT82kuD, so that we can… https://t.co/ESVQkGNBbL
1259324783667232800,Sun May 10 03:30:00 +0000 2020,Every #TimeWithMa moment you've shared has warmed our hearts beyond words! This #MothersDay, we've put together a l… https://t.co/2VCNqTQceV
1259117748073840600,Sat May 09 13:47:19 +0000 2020,Win this unique timepiece from the #Raga #IAm range! All you need to do is share your plans for quality #TimeWithMa… https://t.co/sQqZvoxYEV
1259112099902447600,Sat May 09 13:24:52 +0000 2020,Share some fun #TimeWithMa on this lockdown Mother's Day! Tweet photos with #TimeWithMa and tag us &amp; tell us a litt… https://t.co/dpLbpwX0RV
1259080235288367000,Sat May 09 11:18:15 +0000 2020,Win this designer timepiece from the #RagaxMasaba range for your Ma! Share how you plan to make your time with Ma s… https://t.co/GKPmCLFRv5
1258715050640117800,Fri May 08 11:07:08 +0000 2020,@Malay92246980 Hi Malay, thank you for taking your time out and sharing the same with us. Kindly help us with the p… https://t.co/VCINYbhLxn
1258707495289335800,Fri May 08 10:37:07 +0000 2020,@MananiVinay Hi Vinay, as per our telephonic conversation please allow us some time to work on your case and we hav… https://t.co/gaOinM5Ixj
1258385364600803300,Thu May 07 13:17:05 +0000 2020,Let’s pamper our moms with all their favourite things! Surprise your #Ma, capture the moment, and post it using… https://t.co/3yZiECnvXC
1258047053856419800,Wed May 06 14:52:45 +0000 2020,@Channdru Hi Chandru, we request you to share the last four digits of your contact number as we are unable to fetch your details.
1258039570823708700,Wed May 06 14:23:01 +0000 2020,The power of Mothers &amp; Music. India's leading musicians come together virtually, for a new take of an iconic tune.… https://t.co/krjw2a1xuV
1257971525061206000,Wed May 06 09:52:38 +0000 2020,The power of Mothers &amp; Music. India's leading musicians come together virtually, for a new take of an iconic tune.… https://t.co/EeLaW1QbAL
1257935211343556600,Wed May 06 07:28:20 +0000 2020,@MananiVinay Hi Vinay, we regret the inconvenience caused to you. Could you please DM with us your contact details to assist you better?
1257671522916995000,Tue May 05 14:00:32 +0000 2020,@iNaughtysky We are glad that you liked our service. We take pride in our customer's satisfaction, we wish to serve… https://t.co/wZKDXfOxbV
1257665557144445000,Tue May 05 13:36:49 +0000 2020,@iNaughtysky Hi Akash, thank you for reaching out to us. We would like to hear about your concern in detail. Please… https://t.co/lOEV9IrJHO
1255851396160786400,Thu Apr 30 13:28:00 +0000 2020,@sanskritiyada17 Hi Sanskriti, we are sorry for the inconvenience caused to you. We request you to check with your… https://t.co/7qCL7Y3ijv
1255817553785602000,Thu Apr 30 11:13:31 +0000 2020,@Arunkumar6106 Hi Arun, Congrats! You got it all right and thanks for tagging your friends. We will be announcing the winners soon.
1255431101625053200,Wed Apr 29 09:37:54 +0000 2020,@pigguchy As per our telephonic conversation, we understood that you already had a word with our team. Do reach out… https://t.co/6lWh91O48i
1255165943854047200,Tue Apr 28 16:04:15 +0000 2020,@pigguchy Hi, sorry for the inconvenience caused to you. We would like to hear about your concern in detail. Reques… https://t.co/IIC3PL0Qlw
1254747364612608000,Mon Apr 27 12:20:58 +0000 2020,@sweetuk81 Hi Shaifali, Voila! You got it all right and tagged your friends too. We are overwhelmed. Keep your fing… https://t.co/S1Qz7B9Dx6
1254296854008934400,Sun Apr 26 06:30:48 +0000 2020,@raj_iitian Hi Rajat, thank you for appreciating our service. We will take this as a feedback and put it across the… https://t.co/U5Nw9VhiFs
1254001980680405000,Sat Apr 25 10:59:05 +0000 2020,On the auspicious occasion of #AkshayaTritiya, stay tuned for a special musical concert.  #TimeTogether… https://t.co/pkP7RU9z60
1253023788700033000,Wed Apr 22 18:12:05 +0000 2020,This #EarthDay2020, let us rethink what we want from this planet. While we have learnt many things from the problem… https://t.co/E8ej5JNVOD
