id,created_at,text
1258066364021051400,Wed May 06 16:09:29 +0000 2020,Kim out in Malibu, CA on May 5, 2020. https://t.co/21T32FMrLC
1236081026637672400,Sat Mar 07 00:07:36 +0000 2020,Kim out shopping in Los Angeles, CA on March 6, 2020. https://t.co/mzbxFO5dX4
1235754155131588600,Fri Mar 06 02:28:44 +0000 2020,Kim &amp; Alice Johnson arriving to The White House in Washington D.C. on March 4, 2020. https://t.co/oZeFTQetls
1235737353106292700,Fri Mar 06 01:21:58 +0000 2020,Kim out in Calabasas, CA on March 5, 2020. https://t.co/zKbgCcai8r
1235737024218493000,Fri Mar 06 01:20:40 +0000 2020,Kim &amp; David Letterman out in Calabasas, CA on March 5, 2020. https://t.co/zdV0MQiG5b
1235694294641475600,Thu Mar 05 22:30:52 +0000 2020,Kim leaving Charlie Palmer Steak in Washington D.C. on March 4, 2020. https://t.co/7CGB9fPm01
1234841448887062500,Tue Mar 03 14:01:58 +0000 2020,Kim &amp; Michèle Lamy out in Paris, France on March 3, 2020. https://t.co/YCuWJhPHfT
1234839934965624800,Tue Mar 03 13:55:57 +0000 2020,Kim leaving Paris, France on March 3, 2020. https://t.co/BIaKZKLspa
1234630772931387400,Tue Mar 03 00:04:49 +0000 2020,Kim &amp; North leaving their hotel to the Yeezy Season 8 Fashion Show in Paris, France on March 2, 2020. https://t.co/bbqOgr87xY
1234630496417697800,Tue Mar 03 00:03:43 +0000 2020,Kim leaving her hotel to the Yeezy Season 8 Fashion Show in Paris, France on March 2, 2020. #YeezySeason8 #PFW https://t.co/kUH45BdA6U
1234543313442701300,Mon Mar 02 18:17:17 +0000 2020,Kim &amp; Kourtney leaving their hotel in Paris, France on March 2, 2020. https://t.co/ZJQcXXWjvb
1234498376193933300,Mon Mar 02 15:18:43 +0000 2020,Kim leaving her hotel in Paris, France on March 2, 2020. https://t.co/NpvRu1w4DD
1234494508500471800,Mon Mar 02 15:03:21 +0000 2020,Kim &amp; Kourtney out in Paris, France on March 2, 2020. https://t.co/40B36j3WBv
1234477983177617400,Mon Mar 02 13:57:41 +0000 2020,Kim out in Paris, France on March 2, 2020. https://t.co/2EopoPMTp7
1234207408060346400,Sun Mar 01 20:02:31 +0000 2020,Kim &amp; North going to dinner in Paris, France on March 1, 2020. https://t.co/SZp0mGjeTN
1234198082973241300,Sun Mar 01 19:25:27 +0000 2020,Kim &amp; North out in Paris, France on March 1, 2020. https://t.co/Bs6SXthibz
1234156508662857700,Sun Mar 01 16:40:15 +0000 2020,Kim out in Paris, France on March 1, 2020. https://t.co/acxdiB22m8
1234148746461679600,Sun Mar 01 16:09:25 +0000 2020,Kim, Kanye &amp; Kourtney Front Row at the Balenciaga Fashion Show in Paris, France on March 1, 2020. #PFW https://t.co/FL5oBhZLRJ
1234148522729099300,Sun Mar 01 16:08:31 +0000 2020,Kim &amp; Kourtney arriving to the Balenciaga Fashion Show in Paris, France on March 1, 2020. #PFW https://t.co/LbA7BISY2u
1234148402054750200,Sun Mar 01 16:08:03 +0000 2020,Kim &amp; Kanye arriving to the Balenciaga Fashion Show in Paris, France on March 1, 2020. #PFW https://t.co/HyZ2nZJUiB
1234125219125747700,Sun Mar 01 14:35:55 +0000 2020,Kim &amp; Kourtney leaving L’Avenue in Paris, France on March 1, 2020. https://t.co/6zADMA9MpR
1234104571288588300,Sun Mar 01 13:13:53 +0000 2020,Kim &amp; Kanye leaving Sunday Service in Paris, France on March 1, 2020. https://t.co/ki1YonQkyM
1234104342506066000,Sun Mar 01 13:12:58 +0000 2020,Kim leaving Sunday Service in Paris, France on March 1, 2020. https://t.co/gdDtlgIiFn
1234104046266572800,Sun Mar 01 13:11:47 +0000 2020,Kim, North, Kourtney &amp; Penelope out in Paris, France on March 1, 2020. https://t.co/z9WwB25aJQ
1232300312360296400,Tue Feb 25 13:44:24 +0000 2020,Kim arriving to Dinner in Malibu, CA on February 24, 2020. https://t.co/AhCUlvya7E
1230482082322960400,Thu Feb 20 13:19:24 +0000 2020,Kim &amp; Kanye leaving the Studio in Glendale, CA on February 19, 2020. https://t.co/h2dVsr8kea
1230481848385572900,Thu Feb 20 13:18:28 +0000 2020,Kim arriving to the Studio in Glendale, CA on February 19, 2020. https://t.co/YsRu5KxvCV
1229403962639556600,Mon Feb 17 13:55:20 +0000 2020,Kim &amp; Kanye leaving Sunday Service in Chicago, IL on February 16, 2020. https://t.co/KvjYUaKFTj
1229403756317565000,Mon Feb 17 13:54:31 +0000 2020,Kim &amp; Jonathan at Sunday Service in Chicago, IL on February 16, 2020. https://t.co/xrSAFGZH4m
1229403469523583000,Mon Feb 17 13:53:23 +0000 2020,Kim arriving to Sunday Service in Chicago, IL on February 16, 2020. https://t.co/H8i893P9Gv
1229380186141069300,Mon Feb 17 12:20:51 +0000 2020,Kim, Kanye &amp; J. Cole at the NBA Allstar Game in Chicago, IL on February 16, 2020. https://t.co/L471xbvhra
1229377081110388700,Mon Feb 17 12:08:31 +0000 2020,Kim &amp; Kanye at the NBA Allstar Game in Chicago, IL on February 16, 2020. https://t.co/byr9gDPP5g
1228368545232441300,Fri Feb 14 17:20:57 +0000 2020,Kim &amp; Mel going for a jog in Calabasas, CA on February 14, 2020. https://t.co/5rTG6A6Hku
1228368468979916800,Fri Feb 14 17:20:39 +0000 2020,Kim going for a jog in Calabasas, CA on February 14, 2020. https://t.co/xz3IRt5I1Y
1226869530288382000,Mon Feb 10 14:04:24 +0000 2020,Kim, Kanye &amp; Tyrese inside the Vanity Fair Oscars Party in Beverly Hills, CA on February 9, 2020. https://t.co/QhyJ48lJza
1226869388915155000,Mon Feb 10 14:03:51 +0000 2020,Kim, Kylie &amp; Nicky inside the Vanity Fair Oscars Party in Beverly Hills, CA on February 9, 2020. https://t.co/LSOjZxcq4B
1226869140717232000,Mon Feb 10 14:02:51 +0000 2020,Kim &amp; Caitlyn inside the Vanity Fair Oscars Party in Beverly Hills, CA on February 9, 2020. https://t.co/VHEUJ7iKeU
1226869019418022000,Mon Feb 10 14:02:23 +0000 2020,Kim &amp; Kylie inside the Vanity Fair Oscars Party in Beverly Hills, CA on February 9, 2020. https://t.co/TL3DujKX7y
1226868908684128300,Mon Feb 10 14:01:56 +0000 2020,Kim &amp; Kanye inside the Vanity Fair Oscars Party in Beverly Hills, CA on February 9, 2020. https://t.co/Hrd95R8WEy
1226868517150036000,Mon Feb 10 14:00:23 +0000 2020,Kim &amp; Kylie arriving to the Vanity Fair Oscars Party in Beverly Hills, CA on February 9, 2020. https://t.co/qE73xcOYHE
1226868302435278800,Mon Feb 10 13:59:32 +0000 2020,Kim &amp; Kanye arriving to the Vanity Fair Oscars Party in Beverly Hills, CA on February 9, 2020. https://t.co/JxNzOD3h7l
1226868186437636000,Mon Feb 10 13:59:04 +0000 2020,Kim arriving to the Vanity Fair Oscars Party in Beverly Hills, CA on February 9, 2020. https://t.co/RD3spGZD3Q
1225747949839437800,Fri Feb 07 11:47:39 +0000 2020,Kim &amp; Kanye out in London, UK on February 6, 2020. https://t.co/GZsyWPbrxA
1225486555197923300,Thu Feb 06 18:28:57 +0000 2020,Kim &amp; Kanye arriving to the Airport in New York, NY on February 5, 2020. https://t.co/FRDY6BdpAK
1225486454572355600,Thu Feb 06 18:28:33 +0000 2020,Kim arriving to the Airport in New York, NY on February 5, 2020. https://t.co/frrdUsAPu1
1225419906491015200,Thu Feb 06 14:04:07 +0000 2020,The Skims x Nordstrom Launch in New York, NY on February 5, 2020. https://t.co/J5kNWbf8hg
1225205885158379500,Wed Feb 05 23:53:40 +0000 2020,Kim &amp; Kanye at the Skims x Nordstrom Launch in New York, NY on February 5, 2020. https://t.co/4ziBz5FEVa
1225205746234728400,Wed Feb 05 23:53:07 +0000 2020,Kim at the Skims x Nordstrom Launch in New York, NY on February 5, 2020. https://t.co/FHaFTE6nhl
1225205565590298600,Wed Feb 05 23:52:24 +0000 2020,Kim at the Skims x Nordstrom Launch in New York, NY on February 5, 2020. https://t.co/5gqpvktomi
1225205389119103000,Wed Feb 05 23:51:42 +0000 2020,Kim at the Skims x Nordstrom Launch in New York, NY on February 5, 2020. https://t.co/jzKu2bywgX
1225089027919040500,Wed Feb 05 16:09:19 +0000 2020,Kim &amp; Kanye leaving their hotel in New York, NY on February 5, 2020. https://t.co/v7Hr01uNHc
1225051361311629300,Wed Feb 05 13:39:39 +0000 2020,Kim arriving to Good Morning America at Time Squares in New York, NY on February 5, 2020. https://t.co/LQwKwSInG0
