id,created_at,text
1260134868740116500,Tue May 12 09:08:59 +0000 2020,@raviupadhyay24 Hi Ravi Upadhyay, we are very sorry for your experience. We will share your feedback to team. Pleas… https://t.co/J9OJKHCqtf
1260087637823705000,Tue May 12 06:01:18 +0000 2020,@Demon_Deepak Hi Deepak Mandrai, we will update you by afternoon. Have a good day ahead!
1260074414588166100,Tue May 12 05:08:46 +0000 2020,@Demon_Deepak Hi Deepak Mandrai, we are sorry for the experience. We will share this case with the team as per our… https://t.co/BS43xJIipy
1259849776994095000,Mon May 11 14:16:08 +0000 2020,@raviupadhyay24 Hi Ravi Upadhyay, thank you for taking our call today. As discussed, we will arrange the call back… https://t.co/NvcQalOH05
1259836669978570800,Mon May 11 13:24:03 +0000 2020,@ChefArchana1 Hi, our services shall resume once the lockdown is over
1259819166317654000,Mon May 11 12:14:30 +0000 2020,@suresh_ngl Hi Suresh Kumar, thank you for taking our call today. As discussed, post performing the troubleshoot, t… https://t.co/QDA4FobAHW
1259816998239965200,Mon May 11 12:05:53 +0000 2020,@itz_ar_singh Hi Arvind, thank you for sharing the invoice. Our email team will look into this and reply you on the… https://t.co/DCHZ6Az6GM
1259791261453750300,Mon May 11 10:23:37 +0000 2020,@itz_ar_singh Hi Arvind, thank you for taking our call today.  As discussed, please share the product tax invoice t… https://t.co/Q4ZCoahsgA
1259787915477033000,Mon May 11 10:10:19 +0000 2020,@sgurav_exe Hi Shubham Gurav, we are glad you are happy with our services. Your appreciation is truly appreciated!😀
1259755002316406800,Mon May 11 07:59:32 +0000 2020,@sgurav_exe Hi Shubahm Gurav, thank you for taking our call today. As discussed, please share your details to our s… https://t.co/LlTGmFcebY
1259741966272802800,Mon May 11 07:07:44 +0000 2020,@aijoporuthur Hi Aijo Poruthur, we understand you. Help us with your contact number so we can call you. Talk to you soon!
1259741370312425500,Mon May 11 07:05:22 +0000 2020,@aijoporuthur Hi Aijo Poruthur, we understand you. help us with you contact number so we can call you. Talk to you soon!
1259732499212710000,Mon May 11 06:30:07 +0000 2020,@suresh_ngl Hi Suresh Kumar, let us help. Please share your contact number so we can call you. Talk to you soon!
1259487400109244400,Sun May 10 14:16:10 +0000 2020,@HarmanKardon @dks__ Hello Deep, unfortunately we didn't get your DM.request you to kindly DM once again and team w… https://t.co/ZXtXUJqbVy
1258748751218442200,Fri May 08 13:21:03 +0000 2020,@raviupadhyay24 Hi Ravi Upadhyay, thank you for taking our call. As discussed, the case has been shared with the te… https://t.co/l6O5ZicyNK
1258733447285280800,Fri May 08 12:20:14 +0000 2020,@Olachoudharyji Hi Mohit, we're sorry to hear about what happened to your JBL earphones. You've reached JBL USA, we… https://t.co/JHxj1CKJvA
1258726978028548000,Fri May 08 11:54:32 +0000 2020,@raviupadhyay24 Hi Ravi Upadhyay, thank you for taking our call today. As discussed, we will call you again as per… https://t.co/oO0OJDVjyz
1258667950476857300,Fri May 08 07:59:58 +0000 2020,@Demon_Deepak Hi Deepak Mandrai, thank you for taking our call today. Post performing the troubleshoot, the issue s… https://t.co/Ssdp6O0trs
1258405120657719300,Thu May 07 14:35:35 +0000 2020,@Demon_Deepak Hi Deepak  Mandrai, let us help. Please share your contact number so we can call you. Talk to you soon!
1258373583413416000,Thu May 07 12:30:16 +0000 2020,@tyrantnerd Hi Lakshya Wadhwa, we need additional information so we can help you out. Please share your contact number so we can call you.
1258339572779487200,Thu May 07 10:15:07 +0000 2020,@DHRUV286 Hi Dhruv Ratti, we are happy to know that you are able to connect with our customer support. Within 24-48… https://t.co/hTmKyBPrpW
1258339224119640000,Thu May 07 10:13:44 +0000 2020,@DHRUV286 Hi Dhruv Ratti, we are happy to know that you are to connect with our customer support. Within 24-48 busi… https://t.co/KLPjZXzerj
1258335531425022000,Thu May 07 09:59:04 +0000 2020,@Vishvaj65206232 Hi Vishvajeet Singh Saini, you may contact our customer support at 1800-102-0525 from Monday to Sa… https://t.co/ogrlWmSBto
1258293091456467000,Thu May 07 07:10:25 +0000 2020,@Vishvaj65206232 Hi Vishvajeet Singh Saini, we tried calling you again around 12:35 PM but were unable to connect.… https://t.co/KJPlwW4aVv
1258277605079265300,Thu May 07 06:08:53 +0000 2020,@JBLaudio @dadu_chetia Hello, pls DM your contact details and team will be in touch with you for resolution
1258027291294290000,Wed May 06 13:34:13 +0000 2020,@narwal4211 Hi Surender Narwal, we tried calling you around 19:00 PM India but we were not able to reach you. Pleas… https://t.co/AAVFoQ10Jd
1258014453062303700,Wed May 06 12:43:13 +0000 2020,@DHRUV286 Hi Dhruv Ratti, we are sorry for your experience. Please provide your contact number so we can call you. Talk to you soon!
1257664588578984000,Tue May 05 13:32:58 +0000 2020,@Govi_Pspk10 Hi, we would like to help you with this, please share your contact details and our team will get in to… https://t.co/Mwj8c8WahQ
1257644608001097700,Tue May 05 12:13:35 +0000 2020,@Hitesh29341568 Hi Hitesh, we understand. The case is already discussed and we'll be updating shortly. The team is… https://t.co/V4Wiabxn6J
1257617608330875000,Tue May 05 10:26:17 +0000 2020,@shyam80344169 Hi shyamnath, let us help you. Please share your contact number so we can call you. Talk to you soon!
1257588693533147100,Tue May 05 08:31:24 +0000 2020,@Govi_Pspk10 Hi Govi PspK, thank you for taking our call today. Please share your details with our support email id… https://t.co/RFyafhekQR
1257305703380693000,Mon May 04 13:46:53 +0000 2020,@sajal0906 Hi Sajal Jain, thank you for taking our call today. Post performing the troubleshoot, the issue still re… https://t.co/PgwQxhkG5d
1257264155695906800,Mon May 04 11:01:48 +0000 2020,@raviupadhyay24 Hi Ravi Upadhyay, we tried calling you around 16:30 PM India but we were not able to reach you. Ple… https://t.co/kqjBdK8Bap
1257260030799339500,Mon May 04 10:45:24 +0000 2020,@mishranindya Hi Anindya Mishra, let us help. Please mention your phone number so that we can call you. Have a nice day!
1257247912129704000,Mon May 04 09:57:15 +0000 2020,@narwal4211 Hi Surender Narwal, thank you for taking our call today. As discussed, please call us at 1800-102-0525… https://t.co/8OwP4pMOFQ
1257223102959947800,Mon May 04 08:18:40 +0000 2020,@sajal0906 Hi Sajal Jain, we tried calling you around 13:45 PM India but we were not able to reach you. Please let… https://t.co/6abCoHGnko
1257188391990386700,Mon May 04 06:00:44 +0000 2020,@JBLaudio @thetysonrey Hello,pls DM DM your contact details and team will be in touch with you for the
1256550691612569600,Sat May 02 11:46:45 +0000 2020,@kotian_pawan Hi Pawan Kotian, we are sorry for your experience. Please share your contact number so we can call you. Talk to you soon!
1256505201508470800,Sat May 02 08:45:59 +0000 2020,@narwal4211 Hi Surender Narwal, we tried calling you around 13: 30 PM India but we were not able to reach you. Plea… https://t.co/rGVfpQAd1U
1256219652142911500,Fri May 01 13:51:19 +0000 2020,@sajal0906 Hi Sajal Jain, we tried calling you around 19:20 PM India but we were not able to reach you. Please let… https://t.co/cNsSPBjuBn
1256202234959851500,Fri May 01 12:42:06 +0000 2020,@augustya15 Hi Pranay, any new launches shall duly be communicated via all our social media channels. Stay tuned to… https://t.co/5rwwzbJ3qt
1256161186917343200,Fri May 01 09:58:59 +0000 2020,@Knight_123456 Hi  Knight_123456, thank you for sharing. Our email team will reply to you on the same within 24-48… https://t.co/jnWtugWPFe
1256160210823110700,Fri May 01 09:55:07 +0000 2020,@sajal0906 Hi Sajal Jain, let us help you. Share your phone number please so we can call you. Speak to you early!
1256156733627674600,Fri May 01 09:41:18 +0000 2020,@Vishvaj65206232 Hi Vishvajeet Singh Saini, we tried calling you around 15: 10 PM India but we were not able to rea… https://t.co/3xbLBmIlVO
1255862014464925700,Thu Apr 30 14:10:11 +0000 2020,@Hitesh29341568 Hi Hitesh, thank you for taking our call today. As discussed, we are sharing the case to the correc… https://t.co/jwMgAusPAq
1255772282368204800,Thu Apr 30 08:13:37 +0000 2020,@Knight_123456 Hi  Kinght_123456, thank you for taking our call today. As discussed, you may drop an email to our s… https://t.co/7YaeO5L3oj
