id,created_at,text
1260833742718824400,Thu May 14 07:26:04 +0000 2020,@NathBristi Hi Bristi, sorry to hear that. Please send us your phone number over a private message. Our team will r… https://t.co/2pmCTcF9CX
1260833105696354300,Thu May 14 07:23:32 +0000 2020,@Rk0497 Hey Rajat, thanks for reaching out to us. Please help us with the concern order details via private message… https://t.co/6TuVTirO9J
1260833048112672800,Thu May 14 07:23:18 +0000 2020,@sumeet_srj Hi there, while we don't govern the menu prices of the stores/restaurant, we are aware of certain discr… https://t.co/ii8DFf7W3b
1260832999043510300,Thu May 14 07:23:06 +0000 2020,@rattans9 Hey Sunny, sorry to hear that. Let us get this checked for you.
1260832541918937000,Thu May 14 07:21:17 +0000 2020,@TManohari Hi Tushar, we have forwarded the same to our team so that this can be checked at the earliest.
1260832142654754800,Thu May 14 07:19:42 +0000 2020,@Kund559Kumar Hi Kundan, We understand your concern. However, We've already investigated the matter and shared our… https://t.co/3o6kjcuvtp
1260830498516942800,Thu May 14 07:13:10 +0000 2020,@yatisuri Hi Yati, please share your registered phone number over a private message and we'll look into the same at… https://t.co/43LW1Z3tcm
1260828914978443300,Thu May 14 07:06:53 +0000 2020,@mukulsharma36 Hi Mukul, please note that the delivery fee depends on factors such as rider availability and order… https://t.co/0poFOg51EX
1260822967421792300,Thu May 14 06:43:15 +0000 2020,@jyotikuwarbi Hi Jyoti, apologies for the unpleasant experience. Thank you for sharing your order details. We are g… https://t.co/CFVSLvixSj
1260821347115995100,Thu May 14 06:36:48 +0000 2020,@SsS6506 Hey Sudhir, please help us with the screenshot of the same along with your registered contact number and w… https://t.co/hJdoS6VweA
1260818175182037000,Thu May 14 06:24:12 +0000 2020,@Sagarsa99719138 Hi Sagar, sorry to hear that. Please share your registered phone number over a private message and… https://t.co/GGPB43hnaq
1260814085332983800,Thu May 14 06:07:57 +0000 2020,@nitishk25890614 Hi Nitish, apologies for the unpleasant experience. Thank you for sharing your order details. We a… https://t.co/sq0YFEAKE7
1260810318734749700,Thu May 14 05:52:59 +0000 2020,@PatleShirish Hi Shirish, sorry to hear that. Please share your concern along with your registered phone number ove… https://t.co/drwhKaYCWB
1260810035199832000,Thu May 14 05:51:51 +0000 2020,@biswa97 Hi Biswanath, sorry to hear that. Please share your registered phone number over a private message and we'… https://t.co/A36BcKq9fI
1260808892260343800,Thu May 14 05:47:19 +0000 2020,@Travelyourwayl1 Hey there, sorry to hear that. We will have it checked and connect with you.
