id,created_at,text
1260861570688508000,Thu May 14 09:16:38 +0000 2020,Tasty, healthy and edible! These tiny seeds are packed with protein, vitamins and minerals making it an ideal nutri… https://t.co/F4VaVUlWbm
1260830843486064600,Thu May 14 07:14:32 +0000 2020,@ParmarChandrika Hi, refund of INR 5158.38 has been successfully processed. The bank ARN is 319304627. Do let us kn… https://t.co/Tszl59xa5J
1260819876660347000,Thu May 14 06:30:58 +0000 2020,@yadnikawarang Hi, we apologise for the inconvenience caused. Kindly help us with your order details so that we can further assist you.
1260815961076183000,Thu May 14 06:15:24 +0000 2020,**Store update alert – 14th May** Dear customers, please note that our stores will be operating at a reduced capaci… https://t.co/UhkI7EyYWG
1260806364336701400,Thu May 14 05:37:16 +0000 2020,@sanghhvi Hi, we apologise for the inconvenience caused. Kindly help us with your order details so that we can further assist you.
1260805639972020200,Thu May 14 05:34:23 +0000 2020,@AjayKamalakaran Hi Ajay, we are glad to know you liked our mangoes! We look forward to seeing you again. Happy shopping!
1260803683232686000,Thu May 14 05:26:37 +0000 2020,@Handle_Rahul Hi, we apologise for the inconvenience caused. Kindly help us with your order details so that we can further assist you.
1260802659805692000,Thu May 14 05:22:33 +0000 2020,@anurupadongare Hi, we apologise for the inconvenience caused. We have forwarded your order details to the concerne… https://t.co/HKNcJUkSgs
1260802346998812700,Thu May 14 05:21:18 +0000 2020,@sanjmowgli have a zero-tolerance policy towards the occurrence of such lapses, if any. We assure you that appropri… https://t.co/RnW1tEevWu
1260802145248522200,Thu May 14 05:20:30 +0000 2020,@sanjmowgli Hi, we are extremely sorry for the inconvenience caused. While we will take up this matter with the rel… https://t.co/DGpP1bmZ4T
1260801892894072800,Thu May 14 05:19:30 +0000 2020,@reachnilesh Hi, refund of INR 1384.29 has been successfully processed. Do let us know if we can assist you further.
1260796660969615400,Thu May 14 04:58:43 +0000 2020,@anishyk Hi, refund of INR 830.70 has been successfully processed. Do let us know if we can assist you further.
1260796189076861000,Thu May 14 04:56:50 +0000 2020,@prasad4you Hi, your refund of INR 633 has been successfully credited to your PayTM wallet. Do let us know if we can assist you further.
1260796080926666800,Thu May 14 04:56:24 +0000 2020,@beingpsy Hi, refund of INR 3358.30 has been successfully processed. Do let us know if we can assist you further.
1260579120271982600,Wed May 13 14:34:17 +0000 2020,@ManojSnehalata Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260578181192601600,Wed May 13 14:30:33 +0000 2020,@PresidentPique Hi, we apologise for the inconvenience caused. We have forwarded your order details to the concerne… https://t.co/pH3IZEamje
1260578085382115300,Wed May 13 14:30:10 +0000 2020,@Straighter_One Hi, due to a surge in demand and shortage of manpower, all our slots are currently full. We are try… https://t.co/m0T67rd3Kn
1260577959800377300,Wed May 13 14:29:40 +0000 2020,@rajanirenu1502 Hi, kindly help us with your order details so that we can further assist you.
1260575358119796700,Wed May 13 14:19:20 +0000 2020,@chapter_over Hi, kindly help us with your order details so that we can further assist you.
1260575102359527400,Wed May 13 14:18:19 +0000 2020,@sanjmowgli Hi, your refund has been initiated. The refund will be credited to your account within 8-10 days. We ho… https://t.co/Iz05hZqHBV
1260574797915922400,Wed May 13 14:17:06 +0000 2020,@raveejoshi86 Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260574041448108000,Wed May 13 14:14:06 +0000 2020,@naincy_gautam have a zero-tolerance policy towards the occurrence of such lapses, if any. We assure you that appro… https://t.co/zWTDIwmwqs
1260573965635944400,Wed May 13 14:13:48 +0000 2020,@naincy_gautam Hi Naincy, we are extremely sorry for the inconvenience caused. While we will take up this matter wi… https://t.co/IRvU7yHr6F
1260568942499770400,Wed May 13 13:53:50 +0000 2020,@sourabhkt Hi, we apologise for the inconvenience caused. Kindly help us with your order details so that we can further assist you.
1260568380068814800,Wed May 13 13:51:36 +0000 2020,@mdtaslimarif Hi, kindly help us with your order details so that we can further assist you.
1260566495324766200,Wed May 13 13:44:07 +0000 2020,@friendly_rohit Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260566123042480000,Wed May 13 13:42:38 +0000 2020,@filmymonk have a zero-tolerance policy towards the occurrence of such lapses, if any. We assure you that appropria… https://t.co/6IaPdVss8S
1260566035020886000,Wed May 13 13:42:17 +0000 2020,@filmymonk Hi Yogesh, we are extremely sorry for the inconvenience caused. While we will take up this matter with t… https://t.co/MjF7YDSyd7
1260562529840963600,Wed May 13 13:28:21 +0000 2020,@srushtisalunke1 Hi, we apologise for the inconvenience caused. We have forwarded your order details to the concern… https://t.co/5PrX1vSSbz
1260561520746008600,Wed May 13 13:24:21 +0000 2020,@thelordvarun Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260544653570347000,Wed May 13 12:17:19 +0000 2020,We are pleased to introduce you to Santhosh, our Customer Service Executive from the Sadashivnagar store, Bengaluru… https://t.co/nC0iyEw176
1260490847587573800,Wed May 13 08:43:31 +0000 2020,This season, everything is mango-ficient! Indulge in these mouthwatering mango delicacies made from our fresh and r… https://t.co/mNElMf4VC6
1260449522423140400,Wed May 13 05:59:18 +0000 2020,@Travelfreak02 Hi, we apologise for the inconvenience caused. We have forwarded your order details to the concerned… https://t.co/2YOhtZe1nv
1260448754836091000,Wed May 13 05:56:15 +0000 2020,@sohinibera89 Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260448701685907500,Wed May 13 05:56:03 +0000 2020,@friendly_rohit Hi, kindly help us with your order details so that we can further assist you.
1260447858630758400,Wed May 13 05:52:42 +0000 2020,@beingpsy Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260447008160088000,Wed May 13 05:49:19 +0000 2020,@GauravSirsalew1 Hi, we apologise for the inconvenience caused. We have forwarded your order details to the concern… https://t.co/Xl8B1LZ1vb
1260443384596045800,Wed May 13 05:34:55 +0000 2020,**Store update alert – 13th May** Dear customers, please note that our stores will be operating at a reduced capaci… https://t.co/f7rflVHpfI
1260207278331965400,Tue May 12 13:56:43 +0000 2020,@reachnilesh Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260207218651271200,Tue May 12 13:56:29 +0000 2020,@ragenth16 Hi, we apologise for the inconvenience caused. Kindly help us with your order details so that we can further assist you.
1260206722049769500,Tue May 12 13:54:30 +0000 2020,@ssankaran Hi, we apologise for the inconvenience caused. We have forwarded your order details to the concerned tea… https://t.co/RkzSWlGF4n
1260185600381972500,Tue May 12 12:30:34 +0000 2020,Your energy booster! Munch on an assortment of walnuts, almonds, raisins and pistachios to improve your immunity! https://t.co/Hc72hxiR9T
1260168213201109000,Tue May 12 11:21:29 +0000 2020,@Bhavish_A Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260166840430530600,Tue May 12 11:16:02 +0000 2020,@RichaChheda2 Hi, thank you for sharing your order details. We have forwarded it to the concerned team who will further look into it.
1260166327827935200,Tue May 12 11:13:59 +0000 2020,@chetan123456 Hi Chetan, we are accepting online orders. However, due to a surge in demand and shortage of manpower… https://t.co/XgWrvqtVJi
1260090296953712600,Tue May 12 06:11:52 +0000 2020,@sohinibera89 Hi, kindly help us with your order details so that we can further assist you.
1260089856367169500,Tue May 12 06:10:07 +0000 2020,@reachnilesh Hi, kindly help us with your order details so that we can further assist you.
